ZIP code,Complaint ID
070XX,2466807
402XX,2464451
447XX,2438278
312XX,2469204
726XX,2467617
921XX,2421964
296XX,2465243
344XX,2464367
210XX,2465735
207XX,2468843
633XX,2465361
325XX,2470396
216XX,2464979
310XX,2447216
553XX,2464541
912XX,2467716
105XX,2465674
787XX,1536660
731XX,2469202
752XX,2372158
916XX,2466263
235XX,2446953
495XX,2465762
028XX,2468087
330XX,2469859
282XX,2466754
770XX,2469364
809XX,2466827
890XX,2469314
752XX,2474031
773XX,2474214
201XX,2465575
206XX,2469172
515XX,2466672
140XX,2467907
770XX,2467016
483XX,2471063
337XX,2465811
278XX,2467231
680XX,2464810
641XX,2464440
100XX,2474246
946XX,2414930
705XX,2465032
750XX,2466819
785XX,2467611
254XX,2372187
221XX,2465357
750XX,2440656
553XX,2467183
984XX,2473137
841XX,2471395
381XX,2467290
333XX,2466474
156XX,2466177
402XX,2470698
546XX,2467384
757XX,2468173
922XX,2372266
707XX,2429401
331XX,2466371
349XX,2468060
483XX,2470672
290XX,2446795
381XX,2464433
326XX,2464975
640XX,2189104
483XX,2467089
982XX,2464855
346XX,2472007
330XX,2464510
370XX,2464674
402XX,2464412
331XX,2466755
166XX,2465923
018XX,2468070
482XX,2465504
181XX,2470805
757XX,2468909
913XX,2467353
701XX,2466986
333XX,2467033
197XX,2441297
301XX,2465478
302XX,2467082
332XX,2372347
212XX,2464407
209XX,2444952
386XX,2468132
322XX,2469094
224XX,2465741
551XX,2469114
370XX,2443424
551XX,2447673
770XX,2467655
280XX,2404425
207XX,2444206
308XX,2467488
760XX,2464890
287XX,2471673
335XX,2469401
302XX,2465062
166XX,2465904
301XX,2466660
073XX,2464983
449XX,2431110
284XX,2464900
210XX,2467493
301XX,2465665
396XX,2469349
112XX,2468112
980XX,2372062
330XX,2464745
482XX,2466287
482XX,2466356
327XX,2476049
380XX,2469188
773XX,2465089
116XX,2468102
333XX,2464446
782XX,2412964
441XX,2465662
436XX,2466793
333XX,2464349
320XX,2467298
774XX,2469804
495XX,2467937
344XX,2465086
288XX,2465832
392XX,2443586
945XX,2440998
452XX,2475142
926XX,2469050
770XX,2469430
080XX,2467019
030XX,2374252
330XX,2471582
070XX,2465381
344XX,2465087
028XX,2444391
402XX,2464414
843XX,2464680
075XX,2466978
871XX,2466928
968XX,2427847
331XX,2464961
279XX,2445793
070XX,2445771
700XX,2465511
967XX,2468073
945XX,2464772
805XX,2467059
327XX,2464387
117XX,2466794
327XX,2470324
480XX,2433662
986XX,2467510
300XX,2466283
750XX,2467432
074XX,2464927
028XX,2468089
160XX,2470422
166XX,2465905
336XX,2467135
923XX,2467370
846XX,2464963
920XX,2442469
070XX,2468279
330XX,2471883
482XX,2465833
132XX,2465350
208XX,2464420
920XX,2464389
462XX,2466099
352XX,2464604
330XX,2470366
475XX,2466196
757XX,2469032
322XX,2474800
336XX,2467514
712XX,2469168
330XX,2405323
021XX,2464557
913XX,2466762
891XX,2465404
080XX,2471542
775XX,2465353
224XX,2469213
302XX,2465078
704XX,2471933
920XX,2468898
973XX,2469361
917XX,2466498
604XX,2473687
926XX,2466068
900XX,2468088
925XX,2465383
551XX,2470998
386XX,2466974
773XX,2465053
456XX,2474193
166XX,2465921
946XX,2445332
307XX,2446682
333XX,2464519
300XX,2473126
378XX,2444535
301XX,2465481
930XX,2466903
483XX,2465164
776XX,2467022
914XX,2467303
334XX,2465660
325XX,2465305
275XX,2466086
604XX,2465771
170XX,2471552
028XX,2465242
923XX,2473009
843XX,2446388
601XX,2469012
894XX,2468210
770XX,2465048
152XX,2466826
750XX,2469057
711XX,2467225
303XX,2467567
200XX,2464422
301XX,2465376
959XX,2464423
917XX,2471328
497XX,2466173
335XX,2470168
442XX,2464576
400XX,2466163
787XX,2469540
945XX,2468932
750XX,2446489
913XX,2467285
024XX,2442821
174XX,2470059
338XX,2465277
953XX,2442764
402XX,2464457
928XX,2465681
615XX,2372023
212XX,2467491
302XX,2468619
631XX,2465047
604XX,2422705
773XX,2466643
935XX,2471931
532XX,2467451
630XX,2467188
923XX,2466989
770XX,2442600
837XX,2417420
750XX,2470284
333XX,2298460
347XX,2464426
071XX,2413443
104XX,2469746
853XX,2446782
231XX,2467501
331XX,2443895
653XX,2447430
272XX,2372245
300XX,2444976
386XX,2466499
193XX,2373384
806XX,2469797
378XX,2433742
770XX,2444304
277XX,2400548
463XX,2445748
303XX,2373093
992XX,2374394
720XX,2441885
300XX,2440543
440XX,2372919
300XX,2468281
100XX,2372879
448XX,2367733
741XX,2444479
300XX,2373102
480XX,2471645
917XX,2374325
370XX,2426478
208XX,2476969
462XX,1571812
069XX,2442339
064XX,2425829
283XX,2467072
435XX,2470138
852XX,2445482
282XX,2130094
150XX,2445365
379XX,2447099
605XX,2469040
761XX,2435390
338XX,2434667
551XX,2447051
032XX,2445996
902XX,2344937
396XX,2469345
282XX,2427919
191XX,2446675
186XX,2446589
411XX,2264553
290XX,2465896
932XX,2435945
326XX,2472918
208XX,2446641
606XX,2467309
917XX,2443928
346XX,2308983
710XX,2468106
926XX,2369038
804XX,1911573
604XX,2446562
282XX,2366157
544XX,2426200
165XX,2446790
539XX,2443015
303XX,2464369
305XX,2361623
432XX,2444532
926XX,2080805
354XX,2472121
773XX,2468150
813XX,2374459
180XX,2468249
357XX,2373693
100XX,2372101
077XX,2469111
019XX,2475467
922XX,1904156
770XX,2318523
600XX,2473115
928XX,1848464
982XX,2309369
302XX,2305465
301XX,2372898
322XX,2469095
300XX,2475031
923XX,2308971
290XX,2473531
209XX,2475358
940XX,2444602
100XX,2423169
402XX,2464353
100XX,2366764
359XX,2446538
850XX,2474399
421XX,2441524
322XX,2372601
208XX,2444505
752XX,2469423
802XX,2373033
303XX,2445737
300XX,2445000
891XX,2468765
836XX,2465873
363XX,2470739
554XX,2281289
370XX,2445599
914XX,2469956
275XX,2374013
223XX,2470086
782XX,2446242
333XX,2467174
770XX,2469826
945XX,2422327
023XX,2471056
606XX,2464654
773XX,2445965
945XX,2465373
381XX,2442187
956XX,2344802
294XX,2469255
207XX,2398842
954XX,2443985
911XX,2443775
806XX,2468973
440XX,2372725
334XX,2443401
191XX,2416558
469XX,2374440
750XX,2465602
746XX,2321565
949XX,2465759
009XX,2466273
917XX,2351434
902XX,2465140
906XX,2373447
900XX,2367387
773XX,2473655
711XX,2446325
333XX,2466525
481XX,2441888
290XX,2465589
334XX,2373476
917XX,2467757
107XX,2441798
482XX,2444893
786XX,2470850
752XX,2470845
452XX,2443549
484XX,2372904
070XX,2446643
730XX,2327789
302XX,2446053
781XX,2374211
347XX,2374154
300XX,2475471
895XX,2474918
110XX,2372984
770XX,2466677
907XX,2342300
109XX,2467960
234XX,2421241
750XX,2475911
900XX,2466142
220XX,2385957
190XX,2415620
212XX,2373726
740XX,2474921
190XX,2424748
068XX,2337578
921XX,2442801
773XX,2372580
550XX,2369097
432XX,2441672
336XX,2444325
956XX,2366639
604XX,2470333
900XX,2447167
852XX,2442620
774XX,2469143
276XX,2372052
282XX,2447242
853XX,2445731
381XX,2368604
163XX,2444160
605XX,2447007
641XX,2477190
338XX,2469529
554XX,2445001
774XX,2051167
381XX,2469112
330XX,2445626
333XX,2466549
705XX,2373450
956XX,2445189
271XX,2438261
801XX,2372025
152XX,2379386
097XX,2372527
640XX,2445164
850XX,2473552
211XX,2474492
115XX,2470074
480XX,2372894
967XX,2435902
260XX,2464988
352XX,2468259
443XX,2372914
605XX,2446167
208XX,2464379
841XX,2469142
402XX,2472053
797XX,2465916
208XX,2422850
641XX,2476163
309XX,2469751
339XX,2444889
333XX,2466726
208XX,2471894
109XX,2467389
070XX,2465434
840XX,2445351
195XX,2358296
774XX,2009820
313XX,2426420
395XX,2373002
341XX,2373584
474XX,2432859
983XX,2375679
532XX,1940639
219XX,2446767
971XX,2427972
100XX,2373077
338XX,2435844
381XX,2474772
112XX,1461577
197XX,2416994
131XX,2372631
277XX,2401172
104XX,2327955
937XX,2468933
100XX,2446856
785XX,2467608
301XX,2369464
782XX,1825573
554XX,2433143
303XX,2443837
117XX,2271456
021XX,2464892
947XX,2445442
750XX,2470785
750XX,2441644
903XX,2464758
112XX,2444481
930XX,2366543
044XX,2443814
983XX,2447192
973XX,2444443
112XX,2372035
301XX,2426703
096XX,2425183
279XX,2374384
794XX,2372422
985XX,1922943
782XX,2404003
073XX,2441847
773XX,2471746
601XX,2444215
481XX,2373763
933XX,2446628
370XX,2442755
100XX,2469123
750XX,2372269
302XX,2467073
750XX,2373252
070XX,2445419
112XX,2475349
070XX,2426646
275XX,2439824
209XX,2469134
606XX,2445222
852XX,2469408
370XX,2476949
554XX,2441647
441XX,2419881
347XX,2366717
341XX,2446462
482XX,2425295
443XX,2373850
080XX,2364392
440XX,2103258
432XX,2471136
199XX,2464859
974XX,2469853
981XX,2471488
701XX,2468351
894XX,2390124
330XX,2467242
950XX,2446240
323XX,2369237
300XX,2465110
150XX,2442300
926XX,2442522
600XX,2423340
326XX,2446024
481XX,2285808
970XX,2468307
917XX,2464719
462XX,2373421
303XX,2464864
554XX,2443162
740XX,2373120
840XX,2464863
600XX,2445427
054XX,2366569
554XX,2446249
010XX,2445557
475XX,2467821
139XX,2283463
770XX,2469887
342XX,2467854
761XX,2467902
462XX,2444043
302XX,2372114
209XX,2475648
322XX,1982362
794XX,2237965
282XX,2470227
941XX,2465724
305XX,2374097
776XX,2468957
321XX,2372618
530XX,2444412
383XX,2373676
761XX,2474257
945XX,2470047
982XX,2372638
100XX,2374212
850XX,2447594
940XX,2442830
853XX,2373924
307XX,2424065
440XX,2466693
852XX,2373942
481XX,2470811
027XX,2369046
983XX,2351788
852XX,2406704
752XX,2327497
207XX,2372325
544XX,2426207
921XX,2468220
431XX,2445328
925XX,2447680
370XX,2444621
853XX,2443017
945XX,2362196
630XX,2437914
473XX,2432925
782XX,2403949
891XX,2447131
384XX,2465582
750XX,2372359
945XX,2465362
972XX,2374362
330XX,2373092
300XX,2372795
223XX,2444696
100XX,2442239
522XX,2366589
782XX,2373119
713XX,2374220
958XX,2102500
850XX,2465244
606XX,2444324
774XX,2475882
010XX,2437052
134XX,2424128
009XX,2446835
781XX,2372699
255XX,2445780
302XX,2366738
327XX,2417331
921XX,2469393
775XX,2467376
775XX,2447667
482XX,2372797
640XX,2464763
187XX,2437132
384XX,2469687
967XX,2446246
331XX,2434078
112XX,2471939
334XX,2421307
770XX,2414622
212XX,2445608
300XX,2436258
707XX,2421472
336XX,2469528
681XX,2472260
545XX,2443088
125XX,2372354
100XX,2427280
951XX,2466892
210XX,2428911
928XX,2366497
900XX,2433069
217XX,2370191
711XX,2469985
910XX,2447393
481XX,2373638
930XX,2436690
775XX,2444786
910XX,2429987
930XX,2447687
840XX,2475096
631XX,2372559
221XX,2465612
156XX,2374039
285XX,2433948
912XX,2317928
921XX,2425846
641XX,2469999
441XX,2058790
902XX,2446233
925XX,2352830
336XX,1467809
891XX,2376378
553XX,2446611
554XX,2445728
494XX,2373134
308XX,2472326
322XX,2374234
017XX,2467372
300XX,2446621
206XX,2471059
334XX,2475989
207XX,2408292
853XX,2437967
238XX,2368321
346XX,2470207
077XX,2424703
326XX,2442850
755XX,2474731
331XX,2372896
926XX,2471016
945XX,2475985
774XX,2374020
300XX,2475340
293XX,2371974
959XX,2468979
945XX,2472543
958XX,2345280
312XX,2372719
433XX,2445192
860XX,2372339
606XX,2372891
154XX,2444555
800XX,2366714
531XX,2469117
902XX,2445789
275XX,2446138
297XX,2469381
077XX,2469113
944XX,2372615
074XX,2374434
853XX,2466769
484XX,2447112
217XX,2470133
950XX,2446116
776XX,2467095
631XX,2376329
191XX,2466640
